Density	AverageSteps
0,1	195,14
0,15000000000000002	389,94
0,2	380,74
0,25	374,92
0,3	335,14
0,35	386,14
0,39999999999999997	346,56
0,44999999999999996	375,56
0,49999999999999994	408,56
0,5499999999999999	340,62
0,6	432,86
0,65	221,66
0,7000000000000001	146,88
0,7500000000000001	44,78
0,8000000000000002	20,34
0,8500000000000002	12,02
